Item,Qty,Material,Source,Unit mass (g),Total mass (g),Unit cost (USD),Total cost (USD),Used in
Metacarpal link (Thumb),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,8.60,8.6,5.96,5.96,Thumb
Metacarpal link (Index),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,8.45,8.4,5.89,5.89,Index
"Sensor wiring conduit, TPU",19,TPU 95A wiring conduit,Purchased / outsourced,0.08,1.5,0.30,5.70,"Index, Little, Middle, Palm, Ring, Thumb"
Proximal Phalanx link (Middle),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,7.22,7.2,5.40,5.40,Middle
"Shoulder pin Ø3 × 18 mm, 440C",9,"440C stainless, hardened & ground",Purchased / outsourced,0.96,8.6,0.60,5.40,"Index, Middle, Ring"
Metacarpal link (Ring),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,7.15,7.1,5.37,5.37,Ring
Proximal Phalanx link (Index),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,6.17,6.2,4.98,4.98,Index
Proximal Phalanx link (Thumb),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,5.87,5.9,4.86,4.86,Thumb
Proximal Phalanx link (Ring),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,5.83,5.8,4.84,4.84,Ring
"Actuator spool deck, PA12-CF",1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,5.33,5.3,4.64,4.64,Forearm
"M2 × 4 socket button screw, 12.9",36,"12.9 alloy steel, black oxide",Purchased / outsourced,0.10,3.5,0.12,4.32,"Index, Little, Middle, Ring, Thumb"
Metacarpal link (Little),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,4.28,4.3,4.22,4.22,Little
Distal Phalanx link (Thumb),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,4.23,4.2,4.20,4.20,Thumb
Middle Phalanx link (Middle),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,4.22,4.2,4.20,4.20,Middle
Middle Phalanx link (Index),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,3.55,3.6,3.93,3.93,Index
Middle Phalanx link (Ring),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,3.52,3.5,3.91,3.91,Ring
Proximal Phalanx link (Little),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,3.34,3.3,3.84,3.84,Little
Distal Phalanx link (Middle),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,2.82,2.8,3.63,3.63,Middle
Flanged ball bearing 3×6×1.4,2,"440C stainless, hardened & ground",Purchased / outsourced,0.24,0.5,1.80,3.60,Little
Flanged ball bearing 3×9×1.4,2,"440C stainless, hardened & ground",Purchased / outsourced,0.56,1.1,1.80,3.60,Thumb
Distal Phalanx link (Index),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,2.49,2.5,3.50,3.50,Index
Distal Phalanx link (Ring),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,2.30,2.3,3.42,3.42,Ring
Middle Phalanx link (Little),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,1.96,2.0,3.29,3.29,Little
Distal Phalanx link (Little),1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,1.41,1.4,3.07,3.07,Little
"Harness manifold, PA12-CF",1,PA12-CF (MJF-printed carbon-fibre nylon),In-house print,0.89,0.9,2.86,2.86,Palm
"Shoulder pin Ø3, abduction pivot",4,"440C stainless, hardened & ground",Purchased / outsourced,0.64,2.5,0.60,2.40,"Index, Little, Middle, Ring"
"Conduit clip, PA12",14,"12.9 alloy steel, black oxide",Purchased / outsourced,0.13,1.8,0.15,2.10,"Index, Little, Middle, Ring, Thumb"
Status light bar (light guide + LED),1,PMMA light guide + SMD LED,Purchased / outsourced,0.01,0.0,2.00,2.00,Palm
"Plate spacer, 7075",6,"7075-T6 aluminium, hard-anodised",Purchased / outsourced,0.03,0.2,0.30,1.80,Palm
"Shoulder pin Ø3 × 16 mm, 440C",3,"440C stainless, hardened & ground",Purchased / outsourced,0.83,2.5,0.60,1.80,Little
"Shoulder pin Ø3 × 20 mm, 440C",2,"440C stainless, hardened & ground",Purchased / outsourced,1.06,2.1,0.60,1.20,Thumb
M2 standoff 12 mm (set of 4),1,"440C stainless, hardened & ground",Purchased / outsourced,2.86,2.9,1.20,1.20,Forearm
Tendon crimp anchor,5,"440C stainless, hardened & ground",Purchased / outsourced,0.03,0.2,0.20,1.00,"Index, Little, Middle, Ring, Thumb"
"M2 × 8 socket button screw, 12.9",8,"12.9 alloy steel, black oxide",Purchased / outsourced,0.12,0.9,0.12,0.96,Palm
Status LED array,1,PMMA light guide + SMD LED,Purchased / outsourced,0.00,0.0,0.60,0.60,Forearm
"M2.5 × 5 socket button screw, 12.9",4,"12.9 alloy steel, black oxide",Purchased / outsourced,0.14,0.5,0.14,0.56,Wrist

TOTAL,309,,,,457.1,,1440.84,
